year,category,question,answer,percentage,total_answers
2017,Society and domestic and family violence,"In general, you consider Brazil a country:",NS/NR,1,11
2019,Society and domestic and family violence,"In general, you consider Brazil a country:",Very macho,71,1704
2019,Society and domestic and family violence,"In general, you consider Brazil a country:",Uncommon,25,600
2019,Society and domestic and family violence,"In general, you consider Brazil a country:",Numbered,2,48
2019,Society and domestic and family violence,"In general, you consider Brazil a country:",NS/NR,2,48
2021,Society and domestic and family violence,"In general, you consider Brazil a country:",Very macho,71,2130
2021,Society and domestic and family violence,"In general, you consider Brazil a country:",Uncommon,25,750
2021,Society and domestic and family violence,"In general, you consider Brazil a country:",Numbered,3,90
2021,Society and domestic and family violence,"In general, you consider Brazil a country:",NS/NR,2,60
2023,Society and domestic and family violence,"In general, you consider Brazil a country:",Very macho,62,13507
2023,Society and domestic and family violence,"In general, you consider Brazil a country:",Uncommon,32,6971
2023,Society and domestic and family violence,"In general, you consider Brazil a country:",Numbered,4,871
2023,Society and domestic and family violence,"In general, you consider Brazil a country:",NS/NR,2,435
2019,Society and domestic and family violence,"In your opinion, what is the main way to reduce violence against women?",Discuss the theme of violence against women in schools,16,384
2019,Society and domestic and family violence,"In your opinion, what is the main way to reduce violence against women?",Increase service services for women in situations of violence,10,240
2019,Society and domestic and family violence,"In your opinion, what is the main way to reduce violence against women?",Conduct campaigns against violence,9,216
2019,Society and domestic and family violence,"In your opinion, what is the main way to reduce violence against women?",Increase punishment for aggressors,60,1440
2019,Society and domestic and family violence,"In your opinion, what is the main way to reduce violence against women?",Other. Which?,2,48
2019,Society and domestic and family violence,"In your opinion, what is the main way to reduce violence against women?",NS/NR,2,48
2019,Society and domestic and family violence,In what situations would you report?,Only if you didn't risk,36,864
2019,Society and domestic and family violence,In what situations would you report?,Only in serious situations,33,792
2019,Society and domestic and family violence,In what situations would you report?,Only if the victim agreed,29,696
2019,Society and domestic and family violence,In what situations would you report?,Only if you knew the victim,17,408
2019,Society and domestic and family violence,In what situations would you report?,Another situation,2,48
2019,Society and domestic and family violence,In what situations would you report?,Only for anonymous denunciation,2,48
2019,Society and domestic and family violence,In what situations would you report?,NS/NR,2,48
2019,Society and domestic and family violence,In what situations would you report?,All,1,24
2017,General characteristics of residents / households,Do you have children?,Yes,76,848
2017,General characteristics of residents / households,Do you have children?,No,23,256
2017,General characteristics of residents / households,Do you have children?,NS/NR,0,0
2021,General characteristics of residents / households,Do you have children?,Yes,78,2340
2021,General characteristics of residents / households,Do you have children?,No,22,660
2021,General characteristics of residents / households,Do you have children?,NS/NR,0,0
2023,General characteristics of residents / households,Do you have children?,Yes,76,16558
2023,General characteristics of residents / households,Do you have children?,No,24,5228
2023,General characteristics of residents / households,Do you have children?,NS/NR,0,0
2019,General characteristics of residents / households,"Counting on you, how many people live in your house?",1 person,9,216
2019,General characteristics of residents / households,"Counting on you, how many people live in your house?",2 people,23,552
2019,General characteristics of residents / households,"Counting on you, how many people live in your house?",3 people,28,672
2019,General characteristics of residents / households,"Counting on you, how many people live in your house?",4 people,21,504
2019,General characteristics of residents / households,"Counting on you, how many people live in your house?",5 or more,19,456
2019,General characteristics of residents / households,"Counting on you, how many people live in your house?",NS/NR,0,0
2021,General characteristics of residents / households,"Counting on you, how many people live in your house?",1 person,8,240
2021,General characteristics of residents / households,"Counting on you, how many people live in your house?",2 people,24,720
2021,General characteristics of residents / households,"Counting on you, how many people live in your house?",3 people,25,750
2021,General characteristics of residents / households,"Counting on you, how many people live in your house?",4 people,21,630
2021,General characteristics of residents / households,"Counting on you, how many people live in your house?",5 or more,22,660
2021,General characteristics of residents / households,"Counting on you, how many people live in your house?",NS/NR,1,30
2023,General characteristics of residents / households,"Counting on you, how many people live in your house?",1 person,8,1742
2023,General characteristics of residents / households,"Counting on you, how many people live in your house?",2 people,26,5664
2023,General characteristics of residents / households,"Counting on you, how many people live in your house?",3 people,25,5446
2023,General characteristics of residents / households,"Counting on you, how many people live in your house?",4 people,21,4575
2023,General characteristics of residents / households,"Counting on you, how many people live in your house?",5 or more,19,4139
2023,General characteristics of residents / households,"Counting on you, how many people live in your house?",NS/NR,1,217
2023,General characteristics of residents / households,How many children under 18 years old?,None,47,10239
2023,General characteristics of residents / households,How many children under 18 years old?,One,26,5664
2023,General characteristics of residents / households,How many children under 18 years old?,Two,17,3703
2023,General characteristics of residents / households,How many children under 18 years old?,Three or more,9,1960
2023,General characteristics of residents / households,How many children under 18 years old?,NS/NR,0,0
2023,General characteristics of residents / households,Home,Urban,88,19172
2023,General characteristics of residents / households,Home,Rural,12,2614
2019,Occupation profile,Occupation situation,Busy,47,1128
2019,Occupation profile,Occupation situation,Vacant,8,192
2019,Occupation profile,Occupation situation,Out of the workforce,45,1080
2021,Occupation profile,Occupation situation,Busy,53,1590
2021,Occupation profile,Occupation situation,Vacant,15,450
2021,Occupation profile,Occupation situation,Out of the workforce,32,960
2023,Occupation profile,Occupation situation,Busy,52,11329
2023,Occupation profile,Occupation situation,Unhappy,18,3921
2023,Occupation profile,Occupation situation,Out of the workforce,29,6318
2023,Occupation profile,Occupation situation,NS/NR,0,0
2023,Occupation profile,Which of these phrases best describes your paid work in your main occupation?,"Work for a company, public service or institution",42,9150
2023,Occupation profile,Which of these phrases best describes your paid work in your main occupation?,Work for an individual employer,21,4575
2023,Occupation profile,Which of these phrases best describes your paid work in your main occupation?,Work on your own or in my business,36,7843
2023,Occupation profile,Which of these phrases best describes your paid work in your main occupation?,NS/NR,1,217
2023,Occupation profile,"Are you a statutory, commissioned or military servant?",Yes,38,8279
2023,Occupation profile,"Are you a statutory, commissioned or military servant?",No,61,13290
2023,Occupation profile,"Are you a statutory, commissioned or military servant?",NS/NR,1,217
2023,Occupation profile,Do you have a signed work card?,Yes,76,16558
2023,Occupation profile,Do you have a signed work card?,No,24,5228
2023,Occupation profile,Do you have a signed work card?,NS/NR,0,0
2023,Occupation profile,Is your business formal or informal?,Formal,40,8714
